SiteCode,AliasTo,AliasToName,AliasDescription,AliasDescriptionWelsh
7A1F9,7A1A1,Glan Clwyd,Ablett,
7A6AT,7A6ML,St Woolos,Community,Cymunedol
7A4C3,7A4BV,UHW,Dental,Deintyddol
7A2FA,7A2EF,South Pembroke,Mental Health,Iechyd Meddwl
7A3KB,7A3FL,Tonna,Day Hospital,Ysbyty Dydd
7A4FA,7A4C1,Llandough,Hafan y Coed,Hafan-y-Coed
7A1FT,7A1AU,Gwynedd,Hergest,Hergest
7A5FH,7A5B1,Royal Glamorgan,Mental Health,Iechyd Meddwl
7A2FE,7A2AL,Prince Philip,Caebryn,Caebryn
7A55E,7A3B7,Princess of Wales,Ty Llidiard,Ty Llidiard
7A3LA,7A3B7,Princess of Wales,Coity Clinic,Clinig Coity
7A4FR,7A4C1,Llandough,Other Mental Health,Iechyd Meddwl
7A4FS,7A4CH,Barry,Mental Health,Iechyd Meddwl
E9E8P,7A2AG,Glangwili,Heddfan,
7A3FV,7A3FA,Glanrhyd,Caswell Clinic,Clinig Caswell
7A3FG,7A3FA,Glanrhyd,Taith Newydd,
7A1HD,7A1A1,Glan Clwyd,Cancer Treatment Centre,Canolfan Trin Canser
